1,101,9
1,103,8
1,104,7
2,105,6
2,106,6
2,107,9
3,103,8
3,104,7
3,105,6
4,109,7
4,110,8
4,111,9
5,105,6
5,106,6
5,107,9
6,117,5
6,118,9
6,119,6
7,107,9
7,108,8
7,109,7
8,108,8
8,109,7
8,110,8
9,111,9
9,112,9
9,113,9
10,114,9
10,115,9
10,116,5
11,117,5
11,118,9
11,119,6
12,120,7
12,121,9
12,122,9
12,123,9
13,124,8
13,125,8
13,126,9
14,127,10
14,128,10
14,129,4
15,130,4
15,101,9
15,102,8
16,103,7
16,104,6
16,105,6
17,106,9
17,107,8
17,108,7
18,109,8
18,110,9
18,111,9
19,112,9
19,113,9
19,114,9
20,115,5
20,116,5
20,117,9
21,118,6
21,119,7
21,120,9
22,121,9
22,122,9
22,123,8
23,124,8
23,125,9
23,126,10
24,127,10
24,128,4
24,129,4
25,130,7
25,101,9
25,102,8
26,103,7
26,104,6
26,105,6
27,106,9
27,107,8
27,108,7
28,109,8
28,110,9
28,111,9
29,112,9
29,113,9
29,114,9
30,115,5
30,116,5
30,117,9
